epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.769,2.38809,2.3069,1.2468,0.31189,0.24217,0.15145,0.04783,2.74684,2.53285,1.7464,0.00055482,0.00055482,0.00055482
2,503.508,2.45826,1.78362,1.21666,0.28443,0.22046,0.14538,0.04503,2.93888,2.32887,1.7189,0.0010885,0.0010885,0.0010885
3,733.671,2.43569,1.71616,1.19411,0.33971,0.26413,0.20969,0.06459,2.70478,2.10363,1.70024,0.00160017,0.00160017,0.00160017
4,962.502,2.37994,1.63603,1.17043,0.32991,0.25657,0.1964,0.06244,2.747,2.373,1.83417,0.00156798,0.00156798,0.00156798
5,1193.45,2.32302,1.57593,1.14634,0.40857,0.27222,0.24391,0.08151,2.62614,2.12296,1.67236,0.00153497,0.00153497,0.00153497
6,1428.69,2.27733,1.52504,1.13399,0.33662,0.28305,0.2277,0.07603,2.55747,2.0471,1.61152,0.00150197,0.00150197,0.00150197
7,1662.16,2.2481,1.48614,1.10679,0.43019,0.29335,0.27558,0.09358,2.49476,1.85182,1.5178,0.00146896,0.00146896,0.00146896
8,1893.45,2.20715,1.45762,1.10112,0.36795,0.33767,0.27389,0.09233,2.50856,1.9282,1.53982,0.00143595,0.00143595,0.00143595
9,2124.46,2.18682,1.42417,1.09984,0.38838,0.32008,0.28924,0.10006,2.49872,1.95749,1.54849,0.00140295,0.00140295,0.00140295
10,2356.82,2.14989,1.39967,1.08743,0.38377,0.33607,0.2912,0.09912,2.4967,1.93319,1.53773,0.00136994,0.00136994,0.00136994
11,2589.35,2.14699,1.38417,1.07962,0.38988,0.31427,0.2658,0.09094,2.54647,1.94775,1.67268,0.00133693,0.00133693,0.00133693
12,2815.87,2.12357,1.36038,1.0744,0.41463,0.33388,0.30709,0.11106,2.4471,1.83118,1.5061,0.00130393,0.00130393,0.00130393
13,3046.71,2.12154,1.36056,1.07103,0.44926,0.36877,0.32786,0.11743,2.42416,1.74568,1.53349,0.00127092,0.00127092,0.00127092
14,3277.34,2.10168,1.33691,1.05756,0.46989,0.35502,0.339,0.12056,2.40409,1.74566,1.57365,0.00123791,0.00123791,0.00123791
15,3507.96,2.1082,1.33851,1.06156,0.47178,0.36389,0.35089,0.12465,2.44482,1.74405,1.56918,0.00120491,0.00120491,0.00120491
16,3736.79,2.05899,1.30209,1.05664,0.43821,0.36225,0.33906,0.12002,2.39879,1.70716,1.51686,0.0011719,0.0011719,0.0011719
17,3967.88,2.05346,1.29505,1.04678,0.4371,0.35745,0.34232,0.12492,2.38925,1.76763,1.54561,0.00113889,0.00113889,0.00113889
18,4197.52,2.0435,1.28485,1.04502,0.45901,0.35083,0.3483,0.1265,2.42873,1.68782,1.5461,0.00110589,0.00110589,0.00110589
19,4429.58,2.03327,1.26859,1.03733,0.46416,0.33849,0.32572,0.11784,2.39555,1.75128,1.51057,0.00107288,0.00107288,0.00107288
20,4654.43,2.02837,1.26301,1.03767,0.4629,0.36638,0.35142,0.12615,2.3638,1.73123,1.483,0.00103987,0.00103987,0.00103987
21,4877.88,1.99898,1.24448,1.03073,0.44617,0.38819,0.35203,0.12845,2.38827,1.68054,1.5215,0.00100687,0.00100687,0.00100687
22,5099.77,1.98694,1.24178,1.0263,0.47212,0.38931,0.36238,0.13365,2.34234,1.64504,1.48021,0.000973861,0.000973861,0.000973861
23,5322.28,1.98446,1.22931,1.02656,0.45135,0.42011,0.36517,0.13484,2.31931,1.63076,1.48045,0.000940855,0.000940855,0.000940855
24,5546.54,1.98551,1.22677,1.01658,0.43717,0.41034,0.3688,0.13805,2.30388,1.6371,1.45821,0.000907848,0.000907848,0.000907848
25,5768.25,1.95493,1.20806,1.01752,0.49256,0.38481,0.37538,0.14062,2.31372,1.66167,1.49028,0.000874842,0.000874842,0.000874842
26,5997.93,1.94915,1.19751,1.01555,0.50472,0.38122,0.37678,0.14241,2.3319,1.62508,1.4805,0.000841835,0.000841835,0.000841835
27,6221.4,1.95461,1.20035,1.01254,0.5,0.41078,0.39442,0.14708,2.34168,1.57435,1.52205,0.000808828,0.000808828,0.000808828
28,6445.49,1.92747,1.18089,1.00865,0.51337,0.40033,0.3993,0.15299,2.2742,1.57888,1.43794,0.000775822,0.000775822,0.000775822
29,6674.3,1.93257,1.1831,1.00533,0.49584,0.3941,0.3981,0.15419,2.3069,1.59955,1.47103,0.000742815,0.000742815,0.000742815
30,6904.31,1.91107,1.16111,1.00681,0.51192,0.40747,0.39848,0.15406,2.31084,1.58562,1.4801,0.000709809,0.000709809,0.000709809
31,7131.08,1.91361,1.15912,0.99907,0.47757,0.42272,0.38075,0.14567,2.2952,1.58818,1.47997,0.000676802,0.000676802,0.000676802
32,7356.66,1.90479,1.15668,0.99705,0.50002,0.41747,0.40064,0.15098,2.27826,1.59307,1.43274,0.000643795,0.000643795,0.000643795
33,7587.42,1.89711,1.146,0.99387,0.50744,0.42256,0.4071,0.15662,2.24916,1.5596,1.42977,0.000610789,0.000610789,0.000610789
34,7815.92,1.89142,1.14058,0.99177,0.49664,0.42387,0.40181,0.15412,2.28541,1.5614,1.4574,0.000577782,0.000577782,0.000577782
35,8044.24,1.88381,1.142,0.99717,0.50795,0.42794,0.42537,0.16538,2.24686,1.53034,1.42101,0.000544776,0.000544776,0.000544776
36,8267.5,1.89185,1.13343,0.98779,0.51268,0.39428,0.39221,0.1511,2.26314,1.57513,1.44493,0.000511769,0.000511769,0.000511769
37,8494.76,1.87055,1.12529,0.98387,0.52854,0.41063,0.41354,0.16166,2.24931,1.54315,1.4316,0.000478762,0.000478762,0.000478762
38,8720.81,1.85373,1.11532,0.98586,0.50936,0.43185,0.42046,0.16005,2.26893,1.53453,1.45667,0.000445756,0.000445756,0.000445756
39,8954.07,1.85365,1.10546,0.98084,0.51884,0.41317,0.41735,0.16362,2.25278,1.5211,1.45194,0.000412749,0.000412749,0.000412749
40,9185.71,1.84188,1.10236,0.98068,0.51631,0.42019,0.41206,0.16076,2.24961,1.533,1.44561,0.000379743,0.000379743,0.000379743
41,9408.95,1.77361,1.05459,0.9532,0.47734,0.41957,0.38219,0.14662,2.25861,1.56704,1.45059,0.000346736,0.000346736,0.000346736
42,9626.09,1.75192,1.02774,0.94755,0.48393,0.41971,0.39263,0.15348,2.2479,1.56098,1.44481,0.000313729,0.000313729,0.000313729
43,9840.29,1.75085,1.0226,0.94719,0.48466,0.42662,0.40125,0.15608,2.24731,1.57088,1.45215,0.000280723,0.000280723,0.000280723
